index,ind_id,gender,car_owner,property_owner,children,annual_income,type_income,education,marital_status,housing_type,age,experience,family_members,label,experience1,annual_income1
0,5008827,M,Y,Y,0,12.10071213,Pensioner,Higher education,Married,House / apartment,51,0,2,1,0,180000
1,5009744,F,Y,N,0,12.66032792,Commercial associate,Higher education,Married,House / apartment,37,1.264911064,2,1,1.6,315000
2,5009746,F,Y,N,0,12.66032792,Commercial associate,Higher education,Married,House / apartment,43.92149035,1.264911064,2,1,1.6,315000
4,5009752,F,Y,N,0,12.66032792,Commercial associate,Higher education,Married,House / apartment,37,1.264911064,2,1,1.6,315000
5,5009753,F,Y,N,0,12.66032792,Pensioner,Higher education,Married,House / apartment,37,1.264911064,2,1,1.6,315000
6,5009754,F,Y,N,0,12.66032792,Commercial associate,Higher education,Married,House / apartment,37,1.264911064,2,1,1.6,315000
7,5009894,F,N,N,0,12.10071213,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,2,1,0,180000
8,5010864,M,Y,Y,1,13.01700286,Commercial associate,Secondary / secondary special,Married,House / apartment,50,1.378404875,3,1,1.9,450000
9,5010868,M,Y,Y,1,13.01700286,Pensioner,Secondary / secondary special,Married,House / apartment,50,1.378404875,3,1,1.9,450000
10,5010869,M,Y,Y,1,13.01700286,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,50,1.378404875,1,1,1.9,450000
11,5018498,F,Y,Y,0,11.40756495,Working,Secondary / secondary special,Married,House / apartment,52,1.643167673,2,1,2.7,90000
13,5018503,F,Y,Y,0,11.40756495,Working,Secondary / secondary special,Married,House / apartment,52,1.643167673,2,1,2.7,90000
14,5021303,M,N,N,1,13.06579303,Pensioner,Higher education,Married,With parents,24,1.58113883,3,1,2.5,472500
15,5021310,M,N,Y,0,12.50617724,Working,Secondary / secondary special,Married,House / apartment,46,0.836660027,2,1,0.7,270000
16,5021314,M,N,Y,0,12.50617724,Working,Secondary / secondary special,Single / not married,House / apartment,46,0.836660027,2,1,0.7,270000
17,5021430,F,N,Y,0,11.74403719,Commercial associate,Higher education,Single / not married,House / apartment,52,2.607680962,1,1,6.8,126000
18,5021431,F,N,Y,0,11.74403719,Commercial associate,Higher education,Single / not married,House / apartment,52,2.607680962,1,1,6.8,126000
19,5021998,M,N,Y,0,11.40756495,Pensioner,Secondary / secondary special,Married,House / apartment,52,2.121320344,2,1,4.5,90000
20,5022053,M,N,N,0,12.21849517,Working,Higher education,Single / not married,House / apartment,35,3.449637662,1,1,11.9,202500
21,5022617,M,Y,Y,0,12.21849517,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33,2.144761059,2,1,4.6,202500
22,5023781,M,N,Y,0,11.96718074,Commercial associate,Higher education,Civil marriage,House / apartment,49,1.732050808,2,1,3,157500
23,5023831,F,N,Y,2,11.6307085,Commercial associate,Secondary / secondary special,Married,House / apartment,33,1.58113883,4,1,2.5,112500
24,5024071,F,N,Y,0,12.10071213,Working,Higher education,Married,House / apartment,44,1.516575089,2,1,2.3,180000
25,5024213,F,Y,Y,0,13.19932442,Commercial associate,Higher education,Married,House / apartment,43,0.707106781,2,1,0.5,540000
26,5024916,F,N,Y,0,11.6307085,Pensioner,Secondary / secondary special,Married,House / apartment,60,0,2,1,0,112500
28,5025127,F,N,Y,0,12.58621995,Working,Secondary / secondary special,Married,House / apartment,30,3.033150178,2,1,9.2,292500
29,5028580,M,N,N,0,13.19932442,Commercial associate,Higher education,Married,House / apartment,55,1.378404875,2,1,1.9,540000
30,5029028,F,N,Y,0,11.40756495,Working,Lower secondary,Single / not married,Rented apartment,33,3.619392214,2,1,13.1,90000
31,5029311,F,N,Y,0,11.6307085,Pensioner,Secondary / secondary special,Married,House / apartment,60,0,2,1,0,112500
32,5033453,F,N,N,0,11.81303006,Working,Higher education,Single / not married,House / apartment,29,2.569046516,1,1,6.6,135000
33,5033514,F,Y,N,1,11.81303006,Working,Secondary / secondary special,Married,House / apartment,44,1.048808848,3,1,1.1,135000
34,5033916,M,N,Y,0,12.10071213,Working,Secondary / secondary special,Married,House / apartment,36,3.16227766,2,1,10,180000
35,5036469,M,Y,N,0,11.6307085,State servant,Secondary / secondary special,Single / not married,House / apartment,56,2.049390153,2,1,4.2,112500
36,5036590,M,Y,Y,0,12.58621995,Working,Higher education,Married,House / apartment,58,1.483239697,2,1,2.2,292500
37,5036660,F,Y,Y,0,11.24504602,Pensioner,Secondary / secondary special,Married,House / apartment,65,0,2,1,0,76500
38,5036795,M,Y,Y,0,12.27885832,Commercial associate,Secondary / secondary special,Married,House / apartment,53,1.870828693,2,1,3.5,215100
39,5041522,M,Y,Y,0,13.01700286,Commercial associate,Higher education,Separated,House / apartment,44,1.516575089,1,1,2.3,450000
40,5042064,F,Y,N,2,12.50617724,State servant,Higher education,Married,House / apartment,44,4.494441011,4,1,20.2,270000
